2025-08-10 02:35:20 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:35:24 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:35:29 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:35:36 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:35:43 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:35:53 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'Conflict: terminated by other getUpdates request; make sure that only one bot instance is running'}
2025-08-10 02:35:57 | RepitBot | INFO     | bot.py:367 | main | Получен сигнал завершения работы
2025-08-10 02:35:57 | RepitBot | INFO     | bot.py:372 | main | Завершение работы бота
2025-08-10 02:36:16 | RepitBot | INFO     | logger.py:120 | setup_logging | Система логирования инициализирована
2025-08-10 02:36:16 | RepitBot | INFO     | logger.py:120 | setup_logging | Система логирования инициализирована
2025-08-10 02:36:16 | RepitBot | INFO     | bot.py:171 | main | Database tables created/checked.
2025-08-10 02:36:20 | RepitBot | INFO     | bot.py:367 | main | Запускаем бота...
2025-08-10 02:36:22 | RepitBot | INFO     | bot.py:154 | initialize_systems | ✅ Бот инициализирован
